trial,stim,intensity_target_left,intensity_target_right,intensity_context_left,intensity_context_right
0,checkerboard,0.811,0.811,1.0,0.0
1,checkerboard,0.9,0.278,0.0,0.0
2,checkerboard,0.278,0.811,1.0,0.0
3,checkerboard,0.544,0.722,0.0,1.0
4,checkerboard,0.456,0.544,1.0,0.0
5,checkerboard,0.367,0.1,0.0,1.0
6,checkerboard,0.811,0.544,0.0,1.0
7,checkerboard,0.9,0.367,0.0,1.0
8,checkerboard,0.278,0.456,1.0,1.0
9,checkerboard,0.367,0.278,0.0,0.0
10,checkerboard,0.9,0.811,1.0,1.0
11,checkerboard,0.9,0.1,0.0,0.0
12,checkerboard,0.456,0.544,1.0,1.0
13,checkerboard,0.1,0.9,1.0,1.0
14,checkerboard,0.722,0.9,0.0,0.0
15,checkerboard,0.278,0.1,1.0,1.0
16,checkerboard,0.189,0.544,0.0,1.0
17,checkerboard,0.278,0.456,0.0,1.0
18,checkerboard,0.456,0.1,0.0,1.0
19,checkerboard,0.278,0.9,0.0,1.0
20,checkerboard,0.633,0.9,1.0,0.0
21,checkerboard,0.189,0.544,1.0,1.0
22,checkerboard,0.9,0.456,0.0,0.0
23,checkerboard,0.367,0.278,1.0,1.0
24,checkerboard,0.811,0.456,1.0,0.0
25,checkerboard,0.367,0.9,0.0,1.0
26,checkerboard,0.544,0.9,1.0,0.0
27,checkerboard,0.189,0.189,1.0,0.0
28,checkerboard,0.189,0.367,0.0,1.0
29,checkerboard,0.633,0.456,1.0,0.0
30,checkerboard,0.722,0.278,0.0,0.0
31,checkerboard,0.633,0.367,1.0,1.0
32,checkerboard,0.1,0.278,1.0,0.0
33,checkerboard,0.633,0.811,0.0,1.0
34,checkerboard,0.722,0.544,1.0,1.0
35,checkerboard,0.367,0.189,1.0,1.0
36,checkerboard,0.544,0.1,1.0,1.0
37,checkerboard,0.278,0.1,0.0,0.0
38,checkerboard,0.811,0.456,1.0,1.0
39,checkerboard,0.811,0.1,1.0,0.0
40,checkerboard,0.367,0.722,1.0,1.0
41,checkerboard,0.722,0.633,0.0,1.0
42,checkerboard,0.456,0.633,0.0,0.0
43,checkerboard,0.456,0.1,1.0,0.0
44,checkerboard,0.367,0.1,0.0,0.0
45,checkerboard,0.278,0.544,0.0,0.0
46,checkerboard,0.722,0.1,0.0,1.0
47,checkerboard,0.544,0.1,0.0,0.0
48,checkerboard,0.9,0.1,0.0,1.0
49,checkerboard,0.633,0.811,1.0,0.0
50,checkerboard,0.1,0.189,1.0,1.0
51,checkerboard,0.456,0.722,1.0,1.0
52,checkerboard,0.544,0.722,0.0,0.0
53,checkerboard,0.456,0.9,1.0,0.0
54,checkerboard,0.9,0.1,1.0,0.0
55,checkerboard,0.367,0.544,0.0,1.0
56,checkerboard,0.189,0.278,0.0,0.0
57,checkerboard,0.189,0.456,1.0,0.0
58,checkerboard,0.722,0.189,1.0,1.0
59,checkerboard,0.367,0.456,0.0,1.0
60,checkerboard,0.278,0.544,1.0,1.0
61,checkerboard,0.9,0.189,1.0,0.0
62,checkerboard,0.633,0.9,0.0,0.0
63,checkerboard,0.456,0.722,1.0,0.0
64,checkerboard,0.633,0.1,1.0,1.0
65,checkerboard,0.1,0.544,1.0,0.0
66,checkerboard,0.9,0.544,0.0,0.0
67,checkerboard,0.456,0.9,0.0,1.0
68,checkerboard,0.633,0.544,0.0,1.0
69,checkerboard,0.722,0.367,0.0,1.0
70,checkerboard,0.633,0.1,0.0,0.0
71,checkerboard,0.811,0.278,1.0,1.0
72,checkerboard,0.456,0.544,0.0,0.0
73,checkerboard,0.633,0.633,1.0,0.0
74,checkerboard,0.1,0.456,0.0,0.0
75,checkerboard,0.9,0.722,1.0,1.0
76,checkerboard,0.367,0.811,1.0,1.0
77,checkerboard,0.1,0.544,0.0,1.0
78,checkerboard,0.9,0.9,1.0,0.0
79,checkerboard,0.456,0.278,0.0,0.0
80,checkerboard,0.278,0.633,1.0,1.0
81,checkerboard,0.367,0.633,0.0,0.0
82,checkerboard,0.811,0.544,1.0,1.0
83,checkerboard,0.456,0.456,1.0,0.0
84,checkerboard,0.9,0.189,1.0,1.0
85,checkerboard,0.633,0.189,1.0,1.0
86,checkerboard,0.278,0.544,1.0,0.0
87,checkerboard,0.544,0.722,1.0,0.0
88,checkerboard,0.456,0.367,0.0,0.0
89,checkerboard,0.9,0.633,1.0,1.0
